id,text,target
1143089883734560768,ببینین دوستان این دختری که عکسشو میذارین و میگین اگر کسی دیدش زنگ بزنه. به خاطر دوچرخه سواریش تهدید به اسیدپاشی شده قاعدتا جایی که میبرنش ما نمیبینیم یکم قضیه با اون عکس های مختلفی که با عنوان گمشده میذارین متفاوته.,1
1142674800529354752,ذکر لعنهالله علیکم امروز صبح رو به نیروی نامحترم انتظامی اختصاص میدم که قراره با حمایت از آمران به معروف و ناهیان از منکر زمینه رو برای کثافتکاری آتش به اختیارها از قبیل اسیدپاشی کتک زدن مزاحمت و تعرض به مردم فراهم کنه و امیدوارم لعنت خدا به زودی گریبانگیرتون بشه.,1
1142354059959123968,شورای نگهبان خواستار استمهال طرح تشدید مجازات اسیدپاشی شد شورای نگهبان در نامه ای به مجلس خواستار مهلت بیشتر برای بررسی طرح تشدید مجازات اسیدپاشی و حمایت از بزه دیدگان ناشی از آن شد. https://www.yjc.ir/00tgh5,0
1143152426083479553,البته این درست نیست که اون دختر که توی ویدیو کتک می خوره ممکنه هر کاری کرده باشه. همین که گرفتنش و می زننش یعنی یه سری کارها رو قطعا نکرده مثلا اسیدپاشی.,1
1143379962847739904,دختران جوانی رو می بینم که روی صورتشون جای #اسیدپاشی ه یا صورتشون #سوختگی داره برام خیلی دردناکه کاش دانش جراحی پزشکی اونقدر پیشرفت می کرد که این ها چهرشون مثل قبل میشد.,0
1143792227736592384,اداره آگاهی اگر شرف دارد برای یافتن #لیدا_کاوه برود از عرازشه طالبانی آتش به اختیار بازجویی کند که بارها او را تهدید به اسیدپاشی و قتل کرده بودند.,1
1143824463907082240,خبر #ناپدیدشدن لیدا کاوه لی دوچرخه سوارعکاس :خانواده این زن عکسها و مشخصات او رادرصفحات مجازی منتشرکرده اند وازشهروندان خواستند درصورتیکه ردی ازاوپیدا کردند به خانواده اطلاع دهند.برخی نوشته اند این دختردوچرخه سوارچندین باربخاطردوچرخه سواری اش به اسیدپاشی ومرگ تهدید شده است.,1
1142529737677516802,از اسیدپاشی تا کودک آزاری https://www.sedayemardom.net/ p 70874,1
1143622307648299013,یه اکانت فیک دارم که باهاش اسیدپاشی میکنم,0
1142905867064545281,آب پاشی جرمش کتک و زندان و برخورد فیزیکی ست اما اسیدپاشی تقدس است و بیتفاوتی شانس آوری نصف صورتتو گرفته سخنی گوهربار ازطرف نماینده مجلس بله اینجا نظام مقدس ج.ا حاکم است. #دختر_تهرانپارس,1
1144571508771164162,موافقت شورای نگهبان با کلیات طرح تشدید مجازات اسیدپاشی/ ایراد جزئی به متن http://namayande.com/news/156027/موافقتشوراینگهبانباکلیاتطرحتشدیدمجازاتاسیدپاشیایراد,0
1144583740879978497,موافقت شورای نگهبان با کلیات طرح تشدید مجازات اسیدپاشی/ ایراد جزئی به متن https://khabarban.com/a/24218964,0
1144574131091980293,موافقت شورای نگهبان با کلیات طرح تشدید مجازات اسیدپاشیشورای نگهبان در نشست چهارشنبه خود با کلیات طرح تشدید مجازات اسیدپاشی موافقت کرد اما در عین حال ایرادات جزئی نیز به محتوای متن طرح گرفت که قرار است این https://www.instagram.com/p/bzqj6efhtqj/ igshid 17x6av280b6ik,0
1144613436179062784,موافقت شورای نگهبان با کلیات طرح تشدید مجازات اسیدپاشی شورای نگهبان در نشست چهارشنبه خود با کلیات طرح تشدید مجازات اسیدپاشی موافقت کرد اما در عین حال ایرادات جزئی نیز به محتوای متن طرح گرفت که قرار است این ابهامات و ایرادات احتمالی برطرف شود @iran_times https://ift.tt/2kjospi,0
1144572671059005440,موافقت #شورای_نگهبان با کلیات طرح تشدید مجازات #اسیدپاشی شورای نگهبان در نشست چهارشنبه خود با کلیات طرح تشدید مجازات اسیدپاشی موافقت کرد اما در عین حال ایرادات جزئی نیز به محتوای متن طرح گرفت که قرار است این ابهامات و ایرادات احتمالی برطرف شود.pic.twitter.com/a11illykje,0
1143514054050422785,اگر عده ای در حال آب بازی یا رقص باشند سریع پیدا میشن اما اگر کسی اسیدپاشی کند سالها میگذرد و مجرم را شناسایی نمیکنند در تازه ترین مورد دختری در غرب تهران گمشده است و بعد از گذشت 3 روز هنوز پیداش نکردن لابد دوچرخه سواری اش جرم است خواهشا کمک کنید این دختر پیدا بشه🙏😔,1
1144882152544382976,با درود الان دارم برنامه زندگی یه انسان که قربانی اسیدپاشی شده رو میبینم و باز هم از خودم میپرسم که چطور ممکنه که یه نفر یا چندنفر با دیگری یه همچنین کاری رو انجام بده بخاطر تنفر تعصب عقیده یا هرچیز دیگه... زبانم از بیان خشم و انزجارم از این کار و افراد روانی بند آمده..,1
1143181916541267973,یادم افتاد پارسال زیبا پست یه نفر رو share کرده بود با این مضمون که چرا در مورد اسیدپاشی زنان شلوغ کاری می کنید اما در مقابل چاقو خوردن فلان طلبه در فلان جا سکوت کرده ید صبا پست رو فرستاده بود با کپشن seyed ali khamenei added ziba karamali to the group :,1
1143353910482092033,ضدانقلابی که داری سناریوی سوءاستفاده از #اسیدپاشی اصفهان رو تو ماجرای گم شدن فلان دختر د رتهران تکرار میکنی #صبح_شما_هم_بخیر کفتار,1
1144574613164363776,موافقت #شورای_نگهبان با کلیات طرح تشدید مجازات #اسیدپاشی شورای نگهبان در نشست چهارشنبه خود با کلیات طرح تشدید مجازات اسیدپاشی موافقت کرد اما در عین حال ایرادات جزئی نیز به محتوای متن طرح گرفت که قرار است این ابهامات و ایرادات احتمالی برطرف شود. https://t.co/lonrjspjk8,0
1144567829267529728,شورای نگهبان در نشست چهارشنبه خود با کلیات طرح تشدید مجازات اسیدپاشی موافقت کرد اما درعین حال ایرادات جزئی نیز به محتوای متن طرح گرفت,0
1142519481022976000,خب حقیقت اینه که من در واقع قربانی یک حادثه ی اسیدپاشی هستم. و الا که چرا باید این شکلی باشم هان,1
