id,text,target
1142817424745611265,به نظرتون #ولی_فقیه ممکنه #استعفا بده,1
1143377293886263297,چشم اسفندیار یا نقطه ی ضعف ج.ا. ایران پس از چهل سال در #تحریم های دیروز ترامپ آشکار شد. هیچ یک از روزنامه های ایران در تیترهاشان به #تحریم شدن #ولی_فقیه و #نهاد_رهبری اشاره نکرده اند. در داستان ها پس از آشکار شدن نقطه ی ضعف شکست قهرمان حتمی است.,1
1143373880570130432,اولا_ اگر #ولی_فقیه بالا سرتو و امثال تو نبود تا حالا ناموس و خاکت رو فروخته بودید.. ثانیا_ اگر #ولی_فقیه بالا سرت نبود امثال تو و خاتمی نه تنها فرصت رای گرفتن از مردم نداشتند بلکه فرصت حرف زدن هم بهشون نمیدادند...,1
1143392029373816832,امروز که عنوان روزنامه های وطنی را نگاه می کردم خبری از #تحریم شدن #ولی_فقیه و #نهاد های تحت رهبری اش ندیدم. گمان می کنم ترامپ #پاشنه_آشیل نظام را هدف گرفته باشد وگرنه دن کیشوت های وطنی آن #تحریم را به سخره می گرفتند.,1
1143864540733628416,ترامپ اینقدر احمقه که نمیدونه رهبر ما مثل اون تاجر دنیا نیست و از مال دنیا چیزی نداره. حالا برو هی تحریم کن #ولی_فقیه,1
1143214861389836290,امروز دوشنبه 3تیر98 رئیس جمهور #آمریکا با امضای یک فرمان اجرایی تحریمهای جدید سختی را که از آن به عنوان تحریمهای کوبنده اسم برد علیه رژیم آخوندی اعلام کرد. این تحریمها شامل تحریم علیه #ولی_فقیه ارتجاع و سرمایه ها و سیستمهای مالی او می باشد.,1
1145290219354230785,هموطن به دنبال برگزاری کنفرانس بزرگ در اشرف3 و جایگاه #آلترناتیو رژیم #ولی_فقیه بایستی هر چه باشکوهتر و گسترده تر تظاهرات کشورها در حمایت از قیام و مقاومت و برنامه های خانم #مریم_رجوی را برگزار کنیم. #istandwithmaryamrajavi #freeiran #ایران #مجاهدین_خلق,1
1143984213672288256,وقتی فشار #تحریم وانزوای بین المللی روی #ولی_فقیه شدت میگرد بایدبرای حفظ نیروهای روحیه باخته خودوهمچنین حفظ دستگاه سرکوب اقدامی بکند راه حل اقتصادی وسیاسی که نداردبه لحاظ اجتماعی هم که منفوراست تلاش میکند اقدام نمایشی نظامی انجام بدهد که این هم با تهدید مقابله به مثل روبرو است.,1
1145114682589700096,وقتی قانون اساسی مردم ایران را رشید و دارای حق حاکمیت بر سرنوشت خود میداند نباید تفسیری مبتنی بر #سرپرستی از #ولایت_فقیه ارائه دهیم گویی مردم صغیرند و نیازمند ولی و سرپرست. در تفسیر مسموع از ولایت فقیه نقش #ولی_فقیه در پاسداری از حق حاکمیت مردم بر سرنوشت شان بازنمایی می شود.,1
1142787784106811397,#تاجزاده: چهل سال است #ولی_فقیه بالاسر مردم است باز میگویند #انتخابات_آزاد برگزار شود مردم فریب میخورند خب ببینید مشکل کجاست #انتخابات_آزاد شعار مردم ایران بوده از مشروطه تاکنون و ما تا آخر پایش می ایستیم.,1
1142413068904873985,شهید چمران: من نمی گویم #ولی_فقیه معصوم است. ولی ملتی که به امر خدا به امر ولی فقیه اعتماد می کنند خدا اجازه اشتباه به آن رهبر را نمی دهد و به نوعی به او معصومیت می بخشد. #شهید_مصطفی_چمران,1
1142382193618108416,شهید چمران: من نمی گویم #ولی_فقیه معصوم است ولی ملتی که به امر خدا به امر ولی فقیه اعتماد می کنند خدا اجازه اشتباه به آن رهبر را نمی دهد و به نوعی به او معصومیت می بخشد. #شهید_مصطفی_چمران,1
1142303245576081409,#ولی_فقیه: مذاکره نمیکنیم ... جنگ نمیشود آمریکا هم هیچ غلطی نمیتواند بکند #والسلام...,1
1145032232316354562,روایت حجه الاسلام والمسلمین عبدالحسین #معزی نماینده #ولی_فقیه در جمعیت هلال احمر از خاطره ناطق نوری از روزهای پس از ترور #رهبر_انقلابpic.twitter.com/w9g1flmx1f,1
1145082558620848128,اندر احوالات #احمدی_نژاد او کاستی ها و معایب فراوان داشت دارد و خواهد داشت... ولی یک کارش غلبه میکند بر همه معایبش این که یک #تابو_شکنی بزرگ کرد... #مقاومت در برابر تبعیت بی چون و چرا بدون تعقل از #ولی_فقیه کاری که هیچ رئیس جمهوری حتی جرات انجامش را نداشت #شیفت_شب #جدی,1
1144733058706411520,آیا #ولی_فقیه ضعیف تر و #سپاه قوی تر می شود #تنش_ایران_و_آمریکا در رسانه های جهان / چکیده ای از تحلیل های منتشرشده به قلم نویسندگان گوناگون https://www.radiozamaneh.com/452887 pic.twitter.com/mqyr6v0d3v,1
1145652563691429888,ای هموطن تظاهرات #برلین بازتاب حمایت ازبرنامه های 10ماده ای خانم #مریم_رجوی وحمایت ازمقاومت مردم #ایران ونه به مماشاتگران اروپایی است پس دستهارامحکم به هم بفشاریم وبرای این رزم رودررو با #ولی_فقیه صفوف تظاهرات راهرچه باشکوهتر ومستحکم تر کنیم .#freeiran https://news.mojahedin.org/i/%d8%aa%d8%b8%d8%a7%d9%87%d9%80%d8%b1%d8%a7%d8%aa%d8%a8%d8%b2%d8%b1%da%af%d8%a8%d8%b1%d9%84%db%8c%d9%86%d8%b4%d9%86%d8%a8%d9%87%db%b1%db%b5%d8%aa%db%8c%d8%b1%db%b1%db%b3%db%b9%db%b8%db%b6%da%98%d9%88%d8%a6%db%8c%d9%87%db%b2%db%b0%db%b1%db%b9,1
1146652777302679552,یا #فاطمه_معصومه_سلام_الله_علیه ایران ما را مهمان خوان مهر و عطوفتت کرده ای شما که زیارتتان هم سان زیارت یاس گم شده مدینه است در این هجمه های کینه توزانه دشمنان به #انقلاب مان به #ولی_فقیه مان دستگیرمان باش تولدت مبارک بانوی من اشفعی لی ف ی الجنه,1
1146113220643569665,رهبری در ایران فرد نیست بلکه ایدوئولوژی است شخص نیست بلکه شخصیت است #رهبری #ایران #ایدوئولوژی #ولی_فقیه,1
1152410179092328449,#محمد_خاتمی تکراری ترین و بزدل ترین آفتاب پرست تاریخ سیاست معاصر است حتی شخص #ولی_فقیه هم دیگر از این همه تکرار برای مالش به جان آمده.,1
1152413228519047169,#محمد_خاتمی تکراری ترین و بزدل ترین آفتاب پرست تاریخ سیاست معاصر است حتی شخص #ولی_فقیه هم دیگر از این همه تکرار برای مالش به جان آمده. #iranintl,1
